site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
01428750,-75.37601299,41.67452998,1986-10-01,2023-12-03,POINT (-75.37601299 41.67452998),2739748,02040103000045,-75.37600801678924,41.67421979853829
01423500,-75.2469444,42.12194444,1952-10-01,1967-06-30,POINT (-75.2469444 42.12194444),2613732,02040101000216,-75.24716943727434,42.12176467149495
01423000,-75.14002778,42.1661111,1950-10-01,2023-12-03,POINT (-75.14002778 42.1661111),2613578,02040101000085,-75.14065303557408,42.16564660791722
01422747,-75.1219167,42.17266667,1998-10-01,2023-12-03,POINT (-75.1219167 42.17266667),2613498,02040101000134,-75.12208825145757,42.17250040157093
01422779,-75.1289167,42.17738889,2017-12-13,2023-12-03,POINT (-75.1289167 42.17738889),2613490,02040101000147,-75.1285454834443,42.1771311943976
01422738,-75.0419444,42.25944444,1998-10-01,2009-06-29,POINT (-75.0419444 42.25944444),2613340,02040101000746,-75.04296027540245,42.25985214080302
01434017,-74.54027778,41.92527778,1991-07-01,2023-12-03,POINT (-74.54027778 41.92527778),4147394,02040104000143,-74.54022360828388,41.9249354294928
01434013,-74.50527778,41.9383333,1991-05-01,1994-07-18,POINT (-74.50527778 41.9383333),4147950,02040104000147,-74.50555857858988,41.937779609661135
01434176,-74.5497222,41.95555556,1991-07-01,1994-07-19,POINT (-74.5497222 41.95555556),4147380,02040104000150,-74.55301965073225,41.954613255880204
01435000,-74.5898056,41.88994444,1937-11-01,2023-12-03,POINT (-74.5898056 41.88994444),4147956,02040104000140,-74.59008987196107,41.889615371507745
01416500,-74.9025,42.10555556,1944-10-01,1953-09-29,POINT (-74.9025 42.10555556),1748767,02040102003837,-74.90189034758086,42.105144863661884
01414500,-74.7305556,42.1061111,1937-02-01,2023-12-03,POINT (-74.7305556 42.1061111),1748611,02040102000080,-74.7305065138588,42.107142207517164
01434073,-74.5058333,41.97277778,1993-05-01,1994-09-29,POINT (-74.5058333 41.97277778),4147376,02040104000151,-74.52028931703497,41.97439497140415
01434105,-74.5222222,41.9772222,1990-10-01,1995-09-29,POINT (-74.5222222 41.9772222),4147378,02040104001313,-74.52176740305069,41.976846424104814
0143402265,-74.4808333,41.99027778,1991-05-01,1994-07-19,POINT (-74.4808333 41.99027778),4147948,02040104000152,-74.4819630918707,41.99047186348632
01434025,-74.5002222,41.9960833,1983-06-08,2023-12-03,POINT (-74.5002222 41.9960833),4147946,02040104001311,-74.50066014284786,41.99528969265056
01434021,-74.4144444,42.0111111,1991-01-01,2023-12-03,POINT (-74.4144444 42.0111111),4146586,02040104000154,-74.4148052546876,42.01127779760736
01415000,-74.8186111,42.12,1937-02-01,2023-12-03,POINT (-74.8186111 42.12),1748589,02040102000204,-74.81956968064392,42.119521537154185
01415500,-74.90027778,42.13055556,1937-04-01,1962-09-29,POINT (-74.90027778 42.13055556),1748725,02040102000200,-74.90038693782958,42.1307431564529
01414000,-74.6955556,42.13305556,1941-10-01,2023-12-03,POINT (-74.6955556 42.13305556),1748723,02040102000098,-74.6950620721211,42.132023911367575
01413500,-74.6536111,42.1447222,1937-02-01,2023-12-03,POINT (-74.6536111 42.1447222),1748583,02040102000083,-74.65311633812529,42.14397956886979
01415460,-74.9052222,42.1471111,2008-08-01,2023-12-03,POINT (-74.9052222 42.1471111),1748569,02040102000202,-74.90558565343908,42.14672840756692
01422389,-74.7359722,42.23852778,1997-10-01,2009-06-29,POINT (-74.7359722 42.23852778),2612942,02040101000698,-74.73617178120705,42.23876175126318
01421614,-74.6111111,42.34944444,1998-10-01,2009-06-29,POINT (-74.6111111 42.34944444),2612794,02040101000280,-74.61082564329871,42.352917420282125
01413088,-74.5591944,42.29380556,2000-06-07,2023-12-03,POINT (-74.5591944 42.29380556),1748535,02040102000097,-74.55911003619427,42.29358934174184
0142400103,-75.2794444,42.1735833,1952-10-01,2023-12-03,POINT (-75.2794444 42.1735833),2614018,02040101000152,-75.27918937129378,42.173133898746265
01425675,-75.44,42.17444444,1969-10-01,1981-09-29,POINT (-75.44 42.17444444),2613472,02040101000185,-75.44049911110116,42.174529851042145
01424000,-75.2787848,42.1778618,1952-10-01,1967-06-30,POINT (-75.2787848 42.1778618),2614018,02040101000152,-75.2789948533557,42.17749824743547
01421618,-74.6622222,42.3611111,1997-10-01,2023-12-03,POINT (-74.6622222 42.3611111),2612794,02040101000280,-74.6623613419084,42.361268234125816
