,cannonsville_gages,cannonsville_hru,pepacton_gages,pepacton_hru
1981-09-04,62.96419159772862,71.81407968816461,47.25526570029129,96.51379225701798
1981-09-05,44.3807072749641,55.96141140581712,40.12121949458894,91.080592282868
1981-09-06,35.249994085756455,40.75053828016648,37.0824309300148,82.25048107283324
1981-09-07,76.02354067359683,59.852241843159376,44.419939403160065,99.7825367708186
1981-09-08,79.15100322065864,87.37292901459848,41.23327210965536,107.0179308785776
1981-09-09,491.41851175567166,325.67745940358844,815.0137390002755,737.0222422443445
1981-09-10,244.55111283641742,422.2224057599496,261.7673911899742,987.8091324601004
1981-09-11,129.7438462074264,180.65507765105076,138.89989733041998,355.8172112526679
1981-09-12,113.49175846642271,137.43876982467484,125.09573435504973,251.2910363247851
1981-09-13,111.09204714456067,129.0780805755884,114.79557175017732,232.5300751759758
1981-09-14,123.19265059480472,133.85365193102965,106.12038536923619,223.24792873406588
1981-09-15,796.9424185646566,461.2692714172504,615.3771066916759,637.5589881472313
1981-09-16,555.6366948377334,781.6330978933607,369.66080995287143,879.3643852520605
1981-09-17,305.899513596748,401.15544953896017,235.2266404834637,504.60453484548685
1981-09-18,238.6844339614726,280.156911943362,210.3247048707494,378.90864152024375
1981-09-19,260.2716885450022,263.90877200520225,211.96123937401916,371.6807326804181
